Type,Support,Input Name,Output Name,Input Batch,Input Width,Input Height,Input Depth,Left Pad,Right Pad,Top Pad,Bottom Pad,Stride Width,Stride Height,Conv width,Conv height,Conv depth,Output width,Output height,Output depth
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/Conv1/Conv2D__39:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/bn_Conv1/FusedBatchNormV3:0,1,300,300,3,0,0,1,1,2,2,3,3,32,150,150,32
Clip,Yes,used_bn,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/Conv1_relu/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/expanded_conv_depthwise_BN/FusedBatchNormV3:0,1,150,150,32,1,1,1,1,1,1,3,3,32,150,150,32
Clip,Yes,used_bn,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/expanded_conv_depthwise_relu/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/expanded_conv_project_BN/FusedBatchNormV3:0,1,150,150,32,0,0,0,0,1,1,1,1,16,150,150,16
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/expanded_conv_project_BN/FusedBatchNormV3:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_1_expand/Conv2D:0,1,150,150,16,0,0,0,0,1,1,1,1,96,150,150,96
Clip,Yes,323,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_1_expand_relu/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_1_depthwise_BN/FusedBatchNormV3:0,1,150,150,96,0,0,1,1,2,2,3,3,96,75,75,96
Clip,Yes,used_bn,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_1_depthwise_relu/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_1_project_BN/FusedBatchNormV3:0,1,75,75,96,0,0,0,0,1,1,1,1,24,75,75,24
